question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2022-05_q12,How worried or not are you that your answers to survey questions are kept private?,2022 Verasight National AAPOR Omnibus Survey,how-worried-or-not-are-you-that-your-answers-to-survey-questions-are-kept-private,https://reports.verasight.io/reports/2022-verasight-national-aapor-omnibus-survey#how-worried-or-not-are-you-that-your-answers-to-survey-questions-are-kept-private,1000,999.9999999999978,+/- 3.3%,false,5
2023-036_q1,How strongly do you support or oppose providing tax rebates for people who purchase energy-efficient vehicles or solar panels?,AAPOR 2023 Omnibus Survey #2023-036,how-strongly-do-you-support-or-oppose-providing-tax-rebates-for-people-who-purchase-energy-efficient-vehicles-or-solar-panels,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-strongly-do-you-support-or-oppose-providing-tax-rebates-for-people-who-purchase-energy-efficient-vehicles-or-solar-panels,1000,999.9999999999978,+/- 3.3%,false,4
2023-036_q10,Are you a first-generation college student?,AAPOR 2023 Omnibus Survey #2023-036,are-you-a-first-generation-college-student,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#are-you-a-first-generation-college-student,1000,999.9999999999978,+/- 3.3%,false,2
2023-036_q11,"To which of the following streaming services, if any, do you subscribe?",AAPOR 2023 Omnibus Survey #2023-036,to-which-of-the-following-streaming-services-if-any-do-you-subscribe,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe,1000,999.9999999999978,+/- 3.3%,true,8
2023-036_q12,"In the 2020 Presidential Election of Donald Trump (R) versus Joe Biden (D), who was the loser of the election?",AAPOR 2023 Omnibus Survey #2023-036,in-the-2020-presidential-election-of-donald-trump-r-versus-joe-biden-d-who-was-the-loser-of-the-election,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#in-the-2020-presidential-election-of-donald-trump-r-versus-joe-biden-d-who-was-the-loser-of-the-election,1000,999.9999999999978,+/- 3.3%,false,2
2023-036_q13,"In the 2012 Presidential Election of Mitt Romney (R) versus Barack Obama (D), who was the loser of the election?",AAPOR 2023 Omnibus Survey #2023-036,in-the-2012-presidential-election-of-mitt-romney-r-versus-barack-obama-d-who-was-the-loser-of-the-election,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#in-the-2012-presidential-election-of-mitt-romney-r-versus-barack-obama-d-who-was-the-loser-of-the-election,1000,999.9999999999978,+/- 3.3%,false,2
2023-036_q14,Who would win the 2024 Presidential Election if held today?,AAPOR 2023 Omnibus Survey #2023-036,who-would-win-the-2024-presidential-election-if-held-today,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#who-would-win-the-2024-presidential-election-if-held-today,1000,999.9999999999978,+/- 3.3%,false,3
2023-036_q15,How much do you personally worry about illegal immigrants entering the United States from Mexico?,AAPOR 2023 Omnibus Survey #2023-036,how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-mexico,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-mexico,1000,999.9999999999978,+/- 3.3%,false,4
2023-036_q16,How much do you personally worry about illegal immigrants entering the United States from Canada?,AAPOR 2023 Omnibus Survey #2023-036,how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-canada,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-canada,1000,999.9999999999978,+/- 3.3%,false,4
2023-036_q17,How likely are you to pick up a piece of litter that you see on the sidewalk?,AAPOR 2023 Omnibus Survey #2023-036,how-likely-are-you-to-pick-up-a-piece-of-litter-that-you-see-on-the-sidewalk,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-likely-are-you-to-pick-up-a-piece-of-litter-that-you-see-on-the-sidewalk,1000,999.9999999999978,+/- 3.3%,false,5
